PP ID,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18482,0.2823,0.2644,0.2645,0.2848,0.2947,0.2964,0.3194,0.306,0.3162,0.3134
39716,0.2429,0.2958,0.3218,0.3063,0.2996,0.3215,0.3507,0.3281,0.3195,0.2899
27158,0.3623,0.3631,0.3977,0.405,0.3964,0.4171,0.4505,0.4012,0.4051,0.407
39583,0.2815,0.2844,0.3425,0.31,0.2451,0.3462,0.3781,0.3883,0.4212,0.4259
25567,0.3042,0.3017,0.3583,0.3687,0.3549,0.3888,0.3858,0.4036,0.3738,0.369
7052,0.1862,0.2136,0.2812,0.2927,0.2808,0.2758,0.2842,0.3028,0.2802,0.252
19943,0.2699,0.2714,0.3293,0.3189,0.3351,0.3569,0.3524,0.3418,0.3072,0.2966
5324,0.2121,0.2507,0.2602,0.2365,0.26,0.2689,0.2668,0.2734,0.2558,0.248
41670,0.3379,0.3694,0.3654,0.3591,0.3585,0.4083,0.3503,0.3815,0.4057,0.4014
23086,0.2854,0.2694,0.3092,0.32,0.3445,0.3249,0.304,0.3713,0.3599,0.3528
32862,0.2396,0.2555,0.3064,0.2987,0.3034,0.3252,0.3596,0.3378,0.323,0.3039
32863,0.3476,0.3608,0.3688,0.3554,0.3446,0.3495,0.379,0.3852,0.4355,0.4467
43026,0.2939,0.3145,0.3344,0.283,0.3141,0.3367,0.3435,0.3465,0.3616,0.3418
47051,0.1876,0.1911,0.2176,0.2154,0.2173,0.2112,0.2225,0.2492,0.235,0.2241
30955,0.3162,0.3547,0.3777,0.3767,0.3713,0.3698,0.3738,0.4073,0.3882,0.3718
44324,0.3166,0.3463,0.3324,0.3365,0.3641,0.3813,0.3943,0.3807,0.4023,0.408
17493,0.2707,0.2782,0.3076,0.3124,0.3165,0.3076,0.3207,0.3048,0.324,0.321
10458,0.1767,0.1789,0.1948,0.2038,0.21,0.2122,0.2144,0.2231,0.2233,0.2125
12655,0.2529,0.2597,0.2612,0.2783,0.2868,0.2875,0.2845,0.2785,0.2869,0.291
14181,0.2351,0.2259,0.2629,0.2188,0.2132,0.2243,0.2243,0.2478,0.2669,0.2705
11720,0.1765,0.1949,0.2311,0.2377,0.1736,0.2055,0.2313,0.2744,0.266,0.2608
38946,0.1965,0.312,0.3164,0.3058,0.3259,0.3329,0.3629,0.3578,0.3186,0.279
7913,0.1784,0.206,0.2811,0.27,0.2805,0.309,0.3065,0.3255,0.3173,0.2927
909,0.2334,0.2852,0.2789,0.2891,0.2736,0.3225,0.3445,0.335,0.306,0.2482
26092,0.2668,0.273,0.2808,0.3011,0.2837,0.291,0.3252,0.3724,0.3355,0.3313
17279,0.1908,0.2026,0.1937,0.1913,0.2024,0.2202,0.2273,0.2294,0.2528,0.2594
16871,0.2315,0.2649,0.2733,0.257,0.268,0.2849,0.2909,0.2936,0.2975,0.2973
30255,0.2912,0.3209,0.3163,0.3146,0.3291,0.3291,0.3154,0.3179,0.3309,0.3453
7768,0.1963,0.2401,0.2756,0.2804,0.2761,0.2783,0.2799,0.2974,0.2772,0.2767
39868,0.2363,0.2647,0.3267,0.2403,0.3855,0.4084,0.3741,0.3923,0.4107,0.4304
